id,patrol_id,risk_category_id,created_at
05558024-eb98-4207-b8c0-4a5626137e9b,eba23e4c-2558-4d18-a68b-812d823a6382,6,2025-09-22 04:39:56.931292+00
c14e32e1-7149-4069-ba1b-9890099f4fec,eba23e4c-2558-4d18-a68b-812d823a6382,1,2025-09-22 04:39:56.931292+00
f1d9157d-c60e-44e3-a6bf-773461bb5d84,eba23e4c-2558-4d18-a68b-812d823a6382,5,2025-09-22 04:39:56.931292+00
