id,patrol_number,title,description,patrol_type,patrol_date,status,project_id,main_area_id,sub_area1_id,sub_area2_id,main_area,sub_area1,sub_area2,specific_location,area_info,likelihood,severity,risk_level,recommended_action,immediate_hazard,work_stopped,legal_requirement,contractor_id,regulation_reference,created_at,updated_at,created_by
2e58cf22-1931-4ee0-99bd-81cb19aafc11,SP-20250922-001,Grinder,Broken,scheduled,2025-09-22,draft,a9b6708a-bad2-4d6b-9ff8-01815a106820,,,,Tower,L32,Zone A,Temp Workshop,,3,3,high,mitigate,false,false,false,,,2025-09-22 04:27:26.424197+00,2025-09-22 04:27:26.424197+00,3ae45b3d-3c7d-416b-8a08-3a59a4b2748b
eba23e4c-2558-4d18-a68b-812d823a6382,SP-20250922-002,Cutoff Machine,Disc Cutting fail,scheduled,2025-09-22,draft,a9b6708a-bad2-4d6b-9ff8-01815a106820,,,,Tower,L30,Zone C,shaft room,,3,4,extremely_high,stop_work,false,false,false,,,2025-09-22 04:39:56.432102+00,2025-09-22 04:39:56.432102+00,3ae45b3d-3c7d-416b-8a08-3a59a4b2748b
