cat 1,,,,Cat 2,,,,Cat 3,,,,dimension,,,,,additional information,,,,,,,
id,title_en,title_th,tag,id,title_en,title_th,tag,id,title_en,title_th,tag,id,group,order,size-1,size-2,type,brand,rated current,head (pressure),,,,
pipe-01,Pipe and Accessories,ท่อ และอุปกรณ์ประกอบท่อ,"pipe, fitting",bsp-01,"Black Steel Pipes (Sch 40, Grade A, ERW)","ท่อเหล็กดำ (Sch 40, Grade A, ERW)","BSP, SCH40, ERW",pipe-005,Reducing TEE,สามทางลด,,p-b006,pipe,6,3 x 2-1/2 inch,75 mm x 65 mm,,,,,,,,
pipe-01,Pipe and Accessories,ท่อ และอุปกรณ์ประกอบท่อ,"pipe, fitting",bsp-01,"Black Steel Pipes (Sch 40, Grade A, ERW)","ท่อเหล็กดำ (Sch 40, Grade A, ERW)","BSP, SCH40, ERW",pipe-006,"Reducer, Concentric",ข้อลดตรง,,p-b001,pipe,1,1 x 1/2 inch,25 x 15 mm,,,,,,,,
pipe-01,Pipe and Accessories,ท่อ และอุปกรณ์ประกอบท่อ,"pipe, fitting",bsp-01,"Black Steel Pipes (Sch 40, Grade A, ERW)","ท่อเหล็กดำ (Sch 40, Grade A, ERW)","BSP, SCH40, ERW",pipe-006,"Reducer, Concentric",ข้อลดตรง,,p-b002,pipe,2,2 x 1 inch,50 x 25 mm,,,,,,,,
pipe-01,Pipe and Accessories,ท่อ และอุปกรณ์ประกอบท่อ,"pipe, fitting",bsp-01,"Black Steel Pipes (Sch 40, Grade A, ERW)","ท่อเหล็กดำ (Sch 40, Grade A, ERW)","BSP, SCH40, ERW",pipe-006,"Reducer, Concentric",ข้อลดตรง,,p-b003,pipe,3,2 x 1-1/2 inch,50 x 32 mm,,,,,,,,
pipe-01,Pipe and Accessories,ท่อ และอุปกรณ์ประกอบท่อ,"pipe, fitting",bsp-01,"Black Steel Pipes (Sch 40, Grade A, ERW)","ท่อเหล็กดำ (Sch 40, Grade A, ERW)","BSP, SCH40, ERW",pipe-006,"Reducer, Concentric",ข้อลดตรง,,p-b004,pipe,4,3 x 1 inch,75 x 25 mm,,,,,,,,
pipe-01,Pipe and Accessories,ท่อ และอุปกรณ์ประกอบท่อ,"pipe, fitting",bsp-01,"Black Steel Pipes (Sch 40, Grade A, ERW)","ท่อเหล็กดำ (Sch 40, Grade A, ERW)","BSP, SCH40, ERW",pipe-006,"Reducer, Concentric",ข้อลดตรง,,p-b005,pipe,5,3 x 2 inch,75 x 50 mm,,,,,,,,
pipe-01,Pipe and Accessories,ท่อ และอุปกรณ์ประกอบท่อ,"pipe, fitting",bsp-01,"Black Steel Pipes (Sch 40, Grade A, ERW)","ท่อเหล็กดำ (Sch 40, Grade A, ERW)","BSP, SCH40, ERW",pipe-006,"Reducer, Concentric",ข้อลดตรง,,p-b006,pipe,6,3 x 2-1/2 inch,75 mm x 65 mm,,,,,,,,
pipe-01,Pipe and Accessories,ท่อ และอุปกรณ์ประกอบท่อ,"pipe, fitting",bsp-01,"Black Steel Pipes (Sch 40, Grade A, ERW)","ท่อเหล็กดำ (Sch 40, Grade A, ERW)","BSP, SCH40, ERW",pipe-007,"Reducer, Eccentric",ข้อลดเยื้องศูนย์,,,,,,,,,,,,,,
pb-01,Plumbling Equipments,อุปกรณ์ และเครื่องจักรระบบประปา,,pb-01,Pump,ปั้ม (เครื่องสูบน้ำ),pump,pump-01,End Suction Pump,,,,,,,,OFCI,PACO,,,,,,
ee-01,Electrical Equiments,อุปกรณ์ และเครื่องจักรระบบไฟฟ้า,,ee-01,Generator,เครื่องกำเนิดไฟฟ้า,,ee-001,Diesel Engine Generator,,,,,,,,LLE,CAT,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
